Exercise,Equipment,Main Exercise,Classification,Body Part,Body Part II
Feet-Elevated Push Ups,Bodyweight,Push-Up,Upper Body,Chest,Back
Barbell Bench Press,Rack,Push-Up,Upper Body,Chest,Back
Dumbell Bench Press,Dumbell,Push-Up,Upper Body,Chest,Back
Push-Up,Bodyweight,Push-Up,Upper Body,Chest,Back
Barbell Tricep Rows,Barbell,Row,Upper Body,Tricep,
Tricep Dips,Bodyweight,,Upper Body,Tricep,
TRX Row,Bodyweight,,Upper Body,Tricep,
Tricep Push-Up,Bodyweight,Push-Up,Upper Body,Tricep,
Dumbell Row,Dumbell,Row,,Tricep,
Plank,Bodyweight,Plank,Core,Transversus Abdominis,
Prone Plank,Bodyweight,Plank,Core,Transversus Abdominis,
Side Plank,Bodyweight,Plank,Core,Transversus Abdominis,
Weighted Plank,Dumbell,Plank,Core,Transversus Abdominis,
Weighted Prone Plank,Dumbell,Plank,Core,Transversus Abdominis,
Weighted Side Plank,Dumbell,Plank,Core,Transversus Abdominis,
Hollow Hold,Bodyweight,Hollow Hold,Core,Transversus Abdominis,
Russian Twists,Bodyweight,Russian Twists,Core,Obliques,
Weighted Russian Twists,Dumbell,Russian Twists,Core,Obliques,
Arm Circles,Bodyweights,Arm Circles,Upper Body,Shoulders,
Weighted Arm Circles,Dumbell,Arm Circles,Upper Body,Shoulders,
Isolateral Deadbugs,Bodyweight,Deadbugs,Core,Core,
Unilateral Deadbugs,Bodyweight,Deadbugs,Core,Core,
Weighted Isolateral Deadbugs,Bodyweight,Deadbugs,Core,Core,
Weighted Unilateral Deadbugs,Bodyweight,Deadbugs,Core,Core,
Calf Stretch,Bodyweight,Calf Stretch,Stretch,Calf,
Quad Stretch,Bodyweight,Quad Stretch,Stretch,Quad,
Spiderman & Twist,Bodyweight,Spiderman & Twist,Stretch,Back,Core
Chest Stretch,Bodyweight,Chest Stretch,Stretch,Chest,Shoulder
Lat Stretch,Bodyweight,Lat Stretch,Stretch,Chest,Shoulder
Inchworms,Bodyweight,Inchworms,Mobility,,
T-Spine Rotations,Bodyweight,T-Spine Rotations,Stretch,Back,Core
Pigeon Pose,Bodyweight,Pigeon Pose,Stretch,Hips,Glutes
Elevated Pigeon Pose,Bodyweight,Elevated Pigeon Pose,Stretch,Hips,Glutes
Child's Pose,Bodyweight,Child's Pose,Stretch,Back,Shoulder
Cat Cow,Bodyweight,Cat Cow,Stretch,Back,
Ankle Pops,Bodyweight,Ankle Pops,Mobility,,
Heel's Elevated Toe-Touch,Bodyweight,Heel's Elevated Toe-Touch,Mobility,Hamstrings,Quads
Bretzel,Bodyweight,Bretzel,Stretch,Back,
Clamshells,Band,Clamshells,Lower Body,Hips,Glutes
Banded Lateral Walk,Band,Banded Lateral Walk,Lower Body,Hips,Glutes
Banded Front / Back Walk,Band,Banded Front / Back Walk,Lower Body,Hips,Glutes
Banded Hip Abductions,Band,Banded Hip Abductions,Lower Body,Hips,Glutes
Banded Kickbacks,Band,Pull Ups,Upper Body,Hamstrings,Glutes
Pull Ups,Pull-Up Bar,Pull Ups,Upper Body,Back,Arms
Chin-ups,Pull-Up Bar,Pull Ups,Upper Body,Back,Arms
Deadhangs,Pull-Up Bar,Pull Ups,Upper Body,Back,Arms
Neutral Grip Pull Ups,Pull-Up Bar,Pull Ups,Upper Body,Scaps,
Barbell Scap Raise,Barbell,Scap Raise,Upper Body,Scaps,
Scap Pull Up,Pull-Up Bar,Scap Raise,Upper Body,Scaps,
